Year;Fact;Released;Range;;
1972;Pong is the first Arcade Game;1;1970-1979;;0
1977;Atari 2600 is one of the first at-home consoles;1;1970-1979;;12
1978;Space Invaders hit arcades;1;1970-1979;;48
1979;Atari's most successful game, Asteroid, is released;1;1970-1979;;5
1980;Pac-man ends up selling 350 thousand arcade units;1;1980-1989;;35
1983;Mario Bros. was created by Shigeru Miyamoto;1;1980-1989;;300
1984;Tetris is created by  Alexey Pajitnov;1;1980-1989;;88
1985;Nes is released;1;1980-1989;;93
1989;Nintendo released  the first handled system- The Gameboy;1;1980-1989;;436
1991;The first Sonic game, released in 1991 for the Sega Genesis;1;1990-1999;;786
1993;Mortal Kombat, one of the first 2 Players fighting games;1;1990-1999;;1043
1995;Sony releasing the Playstation;1;1990-1999;;1162
1996;Pokémon 1st Gen is released for Game Boy;1;1990-1999;;1220
1997;Grand Theft Auto, the first game in the series;1;1990-1999;;1030
2000;PlayStation 2: the most widely distributed console;1;2000-2009;;1561
2001;Microsoft gets in on the game with Xbox;1;2000-2009;;1493
2003;Valve introduces Steam;1;2000-2009;;1043
2006;Interactive console Wii;1;2000-2009;;2112
2007;World of Warcraft is released;1;2000-2009;;2573
2009;League of legends;1;2000-2009;;4507
2010;Minecraft;1;2010-2020;;3661
2012;CS:GO is released by Steam;1;2010-2020;;1560
2016;Nintendo Switch is released;1;2010-2020;;1238
2017;Fortnite is released by Epic Games;1;2010-2020;;1486
2020;PS5 was released ;1;2010-2020;;331
